unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
A1,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #A1"
A2,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #A2"
A3,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #A3"
A4,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #A4"
B1,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #B1"
B2,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #B2"
B3,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #B3"
B4,2,1,B4: 2x1 TWNHM,936,10363 Sahara
C1,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C1"
C2,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C2"
C3,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C3"
D1,2,1,B3: 2x1 LG,924,"10363 Sahara Dr., Apt. #D1"
D2,2,1,B3: 2x1 LG,924,"10363 Sahara Dr., Apt. #D2"
D3,2,1,B3: 2x1 LG,924,"10363 Sahara Dr., Apt. #D3"
D4,2,1,B3: 2x1 LG,924,"10363 Sahara Dr., Apt. #D4"
E1,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #E1"
E2,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #E2"
E3,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #E3"
E4,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #E4"
F1,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #F1"
F2,1,1,A2: 1x1 MD,640,"10363 Sahara Dr., Apt. #F2"
F3,1,1,A2: 1x1 MD,640,"10363 Sahara Dr., Apt. #F3"
F4,1,1,A3: 1x1 MD,680,"10363 Sahara Dr., Apt. #F4"
G1,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #G1"
G2,1,1,A1: 1x1 SM,561,"10363 Sahara, Apt. #G2"
G3,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #G3"
H1,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H1"
H2,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H2"
H4,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H4"
H5,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H5"
H6,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H6"
J1,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J1"
J2,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J2"
J3,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J3"
A21,2,1,B2: 2x1 FLAT,924,"10363 Sahara, Apt. #A21"
A22,2,1,B6: 2x1 FLAT,1080,"10363 Sahara Dr., Apt. #A22"
A23,2,1,B6: 2x1 FLAT,1080,"10363 Sahara Dr., Apt. #A23"
A24,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #A24"
C21,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C21"
C22,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C22"
C23,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #C23"
D21,2,1,B5: 2x1 MD,968,"10363 Sahara Dr., Apt. #D21"
D22,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #D22"
D23,2,1,B2: 2x1 FLAT,880,"10363 Sahara Dr., Apt. #D23"
D24,2,1,B5: 2x1 MD,968,"10363 Sahara Dr., Apt. #D24"
D25,0,1,EFF: Studio,540,"10363 Sahara Dr., Apt. #D25"
D26,0,1,EFF: Studio,540,"10363 Sahara Dr., Apt. #D26"
D27,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #D27"
E21,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #E21"
E22,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #E22"
E23,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #E23"
E24,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #E24"
F21,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #F21"
F22,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #F22"
F23,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #F23"
F24,1,1,A4: 1x1 LG,720,"10363 Sahara Dr., Apt. #F24"
G21,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #G21"
G22,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #G22"
G23,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #G23"
H3,2,1,B4: 2x1 TWNHM,936,"10363 Sahara Dr., Apt. #H3"
J21,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J21"
J22,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J22"
J23,1,1,A1: 1x1 SM,561,"10363 Sahara Dr., Apt. #J23"
