unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
101B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B101"
102B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B102"
103B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B103"
104B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B104"
105B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B105"
106B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B106"
107B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B107"
108B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B108"
201B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B201"
202B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B202"
203B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B203"
204B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B204"
205B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B205"
206B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B206"
207B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B207"
208B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B208"
301B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B301"
302B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B302"
303B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B303"
304B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B304"
305B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B305"
306B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B306"
307B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B307"
308B,2,1,B1: 2x1 SM,733,"8170 Cross Creek, Apt. #B308"
401B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B401"
402B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B402"
403B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B403"
404B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B404"
405B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B405"
406B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B406"
407B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B407"
408B,2,1,B2: 2x1 LG,803,"8170 Cross Creek, Apt. #B408"
501B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B501"
502B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B502"
503B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B503"
504B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B504"
505B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B505"
506B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B506"
507B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B507"
508B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B508"
509B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B509"
510B,1,1,A2: 1x1 MD,577,"8150 Cross Creek, Apt. #B510"
511B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B511"
512B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B512"
513B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B513"
514B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B514"
515B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B515"
516B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B516"
601B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B601"
602B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B602"
603B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B603"
604B,1,1,A2: 1x1 MD,577,"8150 Cross Creek, Apt. #B604"
605B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B605"
606B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B606"
607B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B607"
608B,1,1,A2: 1x1 MD,577,"8170 Cross Creek, Apt. #B608"
