unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
1,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #01"
2,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #02"
3,2,1,B1: 2x1,740,"342 E. Sunshine Dr., Apt. #03"
4,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #04"
5,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #05"
6,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #06"
7,2,1,B1: 2x1,740,"342 E. Sunshine Dr., Apt. #07"
8,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #08"
11,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #11"
12,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #12"
13,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #13"
14,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #14"
15,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #15"
16,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #16"
17,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #17"
18,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #18"
21,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #21"
22,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #22"
23,2,1,B1: 2x1,740,"342 E. Sunshine Dr., Apt. #23"
24,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #24"
25,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #25"
26,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #26"
27,2,1,B1: 2x1,740,"342 E. Sunshine Dr., Apt. #27"
28,1,1,A1: 1x1,700,"342 E. Sunshine Dr., Apt. #28"
31,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #31"
32,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #32"
33,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #33"
34,2,1,B2(a): 2x1,900,"342 E. Sunshine Dr., Apt. #34"
41,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #41"
42,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #42"
43,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #43"
44,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #44"
51,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #51"
52,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #52"
53,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #53"
54,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #54"
61,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #61"
62,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #62"
63,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #63"
64,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #64"
71,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #71"
72,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #72"
73,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #73"
74,2,1.5,B2(b): 2x1.5,900,"327 Rosemont Dr., Apt. #74"
