unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
A1,1,1,A1: 1x1,420,"501 Koehler Ct, Apt. #A1"
A2,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A2"
A3,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A3"
A4,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A4"
A5,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A5"
A6,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A6"
A7,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A7"
A8,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #A8"
C1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #C1"
C2,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C2"
C3,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C3"
C4,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C4"
C5,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C5"
C6,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C6"
C7,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C7"
C8,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #C8"
D1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #D1"
D2,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D2"
D3,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D3"
D4,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D4"
D5,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D5"
D6,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D6"
D7,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D7"
D8,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #D8"
E1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #E1"
E2,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E2"
E3,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E3"
E4,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E4"
E5,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E5"
E6,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E6"
E7,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E7"
E8,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #E8"
F1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #F1"
F2,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F2"
F3,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F3"
F4,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F4"
F5,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F5"
F6,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F6"
F7,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F7"
F8,1,1,A1: 1x1,420,"501 Koehler Ct., Apt. #F8"
G1,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G1"
G2,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G2"
G3,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G3"
G4,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G4"
G5,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G5"
G6,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G6"
G7,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G7"
G8,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #G8"
H1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #H1"
H2,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H2"
H3,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H3"
H4,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H4"
H5,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H5"
H6,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H6"
H7,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H7"
H8,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #H8"
J1,1,1,A1: 1x1,420,"431 Koehler Ct., Apt. #J1"
J2,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J2"
J3,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J3"
J4,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J4"
J5,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J5"
J6,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J6"
J7,1,1,A1: 1x1,420,"505 Koehler Ct., Apt. #J7"
