unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
100,1,1,A3: 1x1,1120,"1919 Jamar Blvd , Apt. #100"
101,3,1,C1: 3x1,1135,"1919 Jamar Blvd , Apt. #101"
102,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #102"
103,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #103"
104,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #104"
105,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #105"
106,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #106"
107,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #107"
108,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #108"
109,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #109"
110,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #110"
111,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #111"
112,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #112"
113,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #113"
114,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #114"
115,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #115"
116,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #116"
117,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #117"
118,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #118"
119,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #119"
120,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #120"
121,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #121"
122,2,1,B1: 2x1 SM,803,"1919 Jamar Blvd , Apt. #122"
123,0,0,EFF: Studio,349,"1919 Jamar Blvd , Apt. #123"
124,3,2,C2: 3x2,1135,"1919 Jamar Blvd , Apt. #124"
125,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #125"
126,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #126"
127,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #127"
128,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #128"
129,2,1,B2: 2x1 LG,911,"1919 Jamar Blvd , Apt. #129"
130,2,1,B2: 2x1 LG,911,"1919 Jamar Blvd , Apt. #130"
131,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #131"
132,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #132"
133,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #133"
134,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #134"
135,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #135"
136,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #136"
137,1,1,A2: 1x1 LG,625,"1919 Jamar Blvd , Apt. #137"
