unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
28-101,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 101"
28-102,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 102"
28-103,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 103"
28-104,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 104"
28-105,,,EFF: Studio,505,"4728 Norma St, Apt. #28 105"
28-106,,,EFF: Studio,505,"4728 Norma St, Apt. #28 106"
28-107,,,EFF: Studio,505,"4728 Norma St, Apt. #28 107"
28-108,,,EFF: Studio,505,"4728 Norma St, Apt. #28 108"
28-109,,,EFF: Studio,505,"4728 Norma St, Apt. #28 109"
28-110,,,EFF: Studio,505,"4728 Norma St, Apt. #28 110"
28-111,,,EFF: Studio,505,"4728 Norma St, Apt. #28 111"
28-112,,,EFF: Studio,505,"4728 Norma St, Apt. #28 112"
28-113,,,EFF: Studio,505,"4728 Norma St, Apt. #28 113"
28-114,,,EFF: Studio,505,"4728 Norma St, Apt. #28 114"
28-115,,,EFF: Studio,505,"4728 Norma St, Apt. #28 115"
28-116,,,EFF: Studio,505,"4728 Norma St, Apt. #28 116"
28-117,1,1,A4: 1x1,650,"4728 Norma St, Apt. #28 117"
28-118,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 118"
28-119,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 119"
28-120,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 120"
28-121,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 121"
28-122,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 122"
28-123,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 123"
28-124,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 124"
28-125,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 125"
28-126,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 126"
28-127,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 127"
28-128,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 128"
28-129,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 129"
28-130,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 130"
28-131,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 131"
28-132,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 132"
28-133,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 133"
28-134,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 134"
28-201,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 201"
28-202,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 202"
28-203,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 203"
28-204,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 204"
28-205,,,EFF: Studio,505,"4728 Norma St, Apt. #28 205"
28-206,,,EFF: Studio,505,"4728 Norma St, Apt. #28 206"
28-207,,,EFF: Studio,505,"4728 Norma St, Apt. #28 207"
28-208,,,EFF: Studio,505,"4728 Norma St, Apt. #28 208"
28-209,,,EFF: Studio,505,"4728 Norma St, Apt. #28 209"
28-210,,,EFF: Studio,505,"4728 Norma St, Apt. #28 210"
28-211,,,EFF: Studio,505,"4728 Norma St, Apt. #28 211"
28-212,,,EFF: Studio,505,"4728 Norma St, Apt. #28 212"
28-213,,,EFF: Studio,505,"4728 Norma St, Apt. #28 213"
28-214,,,EFF: Studio,505,"4728 Norma St, Apt. #28 214"
28-215,,,EFF: Studio,505,"4728 Norma St, Apt. #28 215"
28-216,,,EFF: Studio,505,"4728 Norma St, Apt. #28 216"
28-217,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 217"
28-218,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 218"
28-219,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 219"
28-220,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 220"
28-221,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 221"
28-222,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 222"
28-223,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 223"
28-224,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 224"
28-225,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 225"
28-226,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 226"
28-227,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 227"
28-228,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 228"
28-229,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 229"
28-230,1,1,A1: 1x1,625,"4728 Norma St, Apt. #28 230"
28-231,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 231"
28-232,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 232"
28-233,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 233"
28-234,1,1,A8: 1x1,718,"4728 Norma St, Apt. #28 234"
50-101,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 101"
50-102,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 102"
50-103,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 103"
50-104,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 104"
50-105,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 105"
50-106,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 106"
50-107,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 107"
50-108,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 108"
50-109,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 109"
50-110,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 110"
50-111,1,1,A7: 1x1,710,"4728 Norma St, Apt. #50 111"
50-112,2,2,B3: 2x2,1025,"4728 Norma St, Apt. #50 112"
50-114,,,SQFT1075: Studio,1075,"4750 Norma St., Apt. #50 114"
50-115,,,SQFT1075: Studio,1075,"4750 Norma St., Apt. #50 115"
50-116,,,SQFT1075: Studio,1075,"4728 Norma St, Apt. #50 116"
50-117,,,SQFT1075: Studio,1075,"4750 Norma St., Apt. #50 117"
50-118,,,SQFT1075: Studio,1075,"4728 Norma St, Apt. #50 118"
50-119,,,SQFT1075: Studio,1075,"4728 Norma St, Apt. #50 119"
50-120,,,SQFT1075: Studio,1075,"4750 Norma St., Apt. #50 120"
50-121,,,SQFT1075: Studio,1075,"4728 Norma St, Apt. #50 121"
50-122,2,2,B3: 2x2,1025,"4728 Norma St, Apt. #50 122"
50-123,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 123"
50-124,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 124"
50-125,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 125"
50-126,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 126"
50-127,2,2,B3: 2x2,1025,"4728 Norma St, Apt. #50 127"
50-128,1,1,A3: 1x1,642,"4728 Norma St, Apt. #50 128"
50-129,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 129"
50-130,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 130"
50-131,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 131"
50-132,1,1,A3: 1x1,642,"4728 Norma St, Apt. #50 132"
50-133,1,1,A3: 1x1,642,"4728 Norma St, Apt. #50 133"
50-201,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 201"
50-202,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 202"
50-203,1,1,A3: 1x1,642,"4750 Norma St., Apt. #50 203"
50-204,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 204"
50-205,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 205"
50-206,1,1,A4: 1x1,650,"4750 Norma St., Apt. #50 206"
50-207,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 207"
50-208,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 208"
50-209,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 209"
50-210,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 210"
50-211,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 211"
50-212,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 212"
50-222,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 222"
50-223,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 223"
50-224,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 224"
50-225,1,1,A7: 1x1,710,"4750 Norma St., Apt. #50 225"
50-226,2,2,B3: 2x2,1025,"4750 Norma St., Apt. #50 226"
