unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
3905-01,2,1,"B1: 2x1 2 bed, 1 bath",850,"3905 Lockwood Dr., Apt. #3905 01"
3905-02,2,1,"B1: 2x1 2 bed, 1 bath",850,"3905 Lockwood Dr., Apt. #3905 02"
3905-03,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 03"
3905-04,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 04"
3905-05,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 05"
3905-06,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 06"
3905-07,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 07"
3905-08,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 08"
3905-09,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 09"
3905-10,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 10"
3905-11,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 11"
3905-12,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 12"
3905-13,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 13"
3905-14,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 14"
3905-15,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 15"
3905-16,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 16"
3905-17,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 17"
3905-18,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 18"
3905-19,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 19"
3905-20,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 20"
3905-21,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 21"
3905-22,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 22"
3905-23,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 23"
3905-24,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 24"
3905-25,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 25"
3905-26,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 26"
3905-27,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 27"
3905-28,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 28"
3905-29,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 29"
3905-30,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 30"
3905-31,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 31"
3905-32,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 32"
3905-33,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 33"
3905-34,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 34"
3905-35,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 35"
3905-36,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 36"
3905-37,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 37"
3905-38,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 38"
3905-39,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #3905 39"
3905-40,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #3905 40"
4515-01,2,1,"B1: 2x1 2 bed, 1 bath",850,"4515 Lockwood Dr, Apt. #4515 01"
4515-02,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 02"
4515-03,,1,EFF: Studio Efficiency,400,"4515 Lockwood Dr, Apt. #4515 03"
4515-04,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 04"
4515-05,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 05"
4515-06,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 06"
4515-07,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 07"
4515-08,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 08"
4515-09,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 09"
4515-10,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 10"
4515-11,1,1,"A1: 1x1 1 bed, 1 bath",675,"4515 Lockwood Dr, Apt. #4515 11"
4515-12,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 12"
4515-13,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 13"
4515-14,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 14"
4515-15,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 15"
4515-16,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 16"
4515-17,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 17"
4515-18,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 18"
4515-19,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 19"
4515-20,1,1,"A1: 1x1 1 bed, 1 bath",675,"3905 Lockwood Dr., Apt. #4515 20"
