unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
4702,2,1,2x1: 2x1,764,"4712 Lockwood Dr, Apt. #47 02"
4703,3,2,3x2: 3x2,849,"4712 Lockwood Dr, Apt. #47 03"
4704,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 04"
4705,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 05"
4706,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 06"
4707,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 07"
4708,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 08"
4709,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 09"
4710,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 10"
4711,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 11"
4712,2,1,2x1: 2x1,764,"4712 Lockwood Dr, Apt. #47 12"
4713,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 13"
4714,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 14"
4715,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 15"
4716,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 16"
4717,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 17"
4718,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 18"
4719,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 19"
4720,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 20"
4721,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 21"
4722,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 22"
4723,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 23"
4724,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 24"
4725,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 25"
4726,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 26"
4727,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 27"
4728,2,1,2x1: 2x1,764,"4712 Lockwood Dr, Apt. #47 28"
4729,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 29"
4730,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 30"
4731,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 31"
4732,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 32"
4733,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 33"
4734,1,1,1x1: 1x1,541,"4712 Lockwood Dr, Apt. #47 34"
4735,2,1,2x1: 2x1,764,"4712 Lockwood Dr, Apt. #47 35"
4736,2,1,2x1: 2x1,764,"4712 Lockwood Dr, Apt. #47 36"
5401,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 01"
5402,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 02"
5403,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 03"
5404,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 04"
5405,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 05"
5406,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 06"
5407,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 07"
5408,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 08"
5409,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 09"
5410,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 10"
5411,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 11"
5412,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 12"
5413,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 13"
5414,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 14"
5415,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 15"
5416,1,1,1x1: 1x1,541,"5420 Rand, Apt. #54 16"
