unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
A1,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #A1"
A2,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #A2"
A3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #A3"
A4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #A4"
A5,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #A5"
A6,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #A6"
A7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #A7"
A8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #A8"
B1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #B1"
B2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #B2"
B3,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #B3"
B4,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #B4"
B5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #B5"
B6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #B6"
B7,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #B7"
B8,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #B8"
C1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C1"
C2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C2"
C3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C3"
C4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C4"
C5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C5"
C6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C6"
C7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C7"
C8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #C8"
D1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D1"
D2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D2"
D3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D3"
D4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D4"
D5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D5"
D6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D6"
D7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D7"
D8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #D8"
E1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E1"
E2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E2"
E3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E3"
E4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E4"
E5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E5"
E6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E6"
E7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E7"
E8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #E8"
F1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F1"
F2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F2"
F3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F3"
F4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F4"
F5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F5"
F6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F6"
F7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F7"
F8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #F8"
G1,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #G1"
G2,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #G2"
G3,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #G3"
G4,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #G4"
G5,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #G5"
G6,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #G6"
G7,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #G7"
G8,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #G8"
H1,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #H1"
H2,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #H2"
H3,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #H3"
H4,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #H4"
H5,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #H5"
H6,1,1,A: 1x1,650,"3735 Pleasanton Rd, Apt. #H6"
H7,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #H7"
H8,2,1,B: 2x1,850,"3735 Pleasanton Rd, Apt. #H8"
