unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
301,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 01"
302,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 02"
303,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 03"
304,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 04"
305,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 05"
306,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 06"
307,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 07"
308,2,1,B1: 2x1,850,"7203 Marbach Rd, Apt. #3 08"
501,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 01"
502,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 02"
503,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 03"
504,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 04"
505,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 05"
506,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 06"
507,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 07"
508,2,2,B2: 2x2,850,"7203 Marbach Rd, Apt. #5 08"
601,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #6 01"
602,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #6 02"
603,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #6 03"
604,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #6 04"
701,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #7 01"
702,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #7 02"
703,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #7 03"
704,3,2,C1: 3x2,1255,"7203 Marbach Rd, Apt. #7 04"
801,2,1.5,B3: 2x1.5,1150,"7203 Marbach Rd, Apt. #8 01"
802,2,1.5,B3: 2x1.5,1150,"7203 Marbach Rd, Apt. #8 02"
803,2,1.5,B3: 2x1.5,1150,"7203 Marbach Rd, Apt. #8 03"
