unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
1,1,1,623: 1x1 split units,480,"2011 Dollarhide Ave, Apt. #1"
101,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #101"
102,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #102"
103,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #103"
104,2,1,B3: 2x1 MD,960,"3203 Bolmore St, Apt. #104"
105,2,1,B3: 2x1 MD,960,"3203 Bolmore St, Apt. #105"
106,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #106"
107,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #107"
108,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #108"
109,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #109"
110,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #110"
111,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #111"
112,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #112"
113,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #113"
114,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #114"
115,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #115"
116,2,1,B1: 2x1 SM,920,"3203 Bolmore St, Apt. #116"
117,2,1,B1: 2x1 SM,920,"3203 Bolmore St, Apt. #117"
118,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #118"
119,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #119"
120,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #120"
121,3,2,C1: 3x2,1800,"3203 Bolmore St, Apt. #121"
122,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #122"
123,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #123"
124,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #124"
125,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #125"
126,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #126"
127,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #127"
128,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #128"
129,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #129"
130,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #130"
131,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #131"
132,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #132"
133,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #133"
134,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #134"
135,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #135"
136,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #136"
137,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #137"
138,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #138"
139,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #139"
140,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #140"
141,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #141"
142,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #142"
143,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #143"
144,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #144"
145,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #145"
146,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #146"
147,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #147"
148,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #148"
149,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #149"
150,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #150"
201,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #201"
202,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #202"
203,2,1,B3: 2x1 MD,960,"3203 Bolmore St, Apt. #203"
204,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #204"
205,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #205"
206,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #206"
207,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #207"
208,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #208"
209,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #209"
210,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #210"
211,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #211"
212,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #212"
213,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #213"
214,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #214"
215,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #215"
216,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #216"
217,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #217"
218,2,1,B1: 2x1 SM,920,"3203 Bolmore St, Apt. #218"
219,2,1,B3: 2x1 MD,960,"3203 Bolmore St, Apt. #219"
220,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #220"
222,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #222"
223,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #223"
224,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #224"
225,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #225"
226,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #226"
227,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #227"
228,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #228"
229,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #229"
230,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #230"
231,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #231"
232,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #232"
233,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #233"
234,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #234"
235,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #235"
236,1,1,A3: 1x1 LG-It's SM,480/665,"3203 Bolmore St, Apt. #236"
237,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #237"
238,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #238"
239,1,1,A1: 1x1 SM,480,"3203 Bolmore St, Apt. #239"
240,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #240"
241,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #241"
242,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #242"
243,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #243"
244,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #244"
245,1,1,A3: 1x1 LG,665,"3203 Bolmore St, Apt. #245"
246,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #246"
247,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #247"
248,2,1,B4: 2x1 LG,980,"3203 Bolmore St, Apt. #248"
249,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #249"
250,2,1,B2: 2x1 MD,940,"3203 Bolmore St, Apt. #250"
301,1,1,A2: 1x1 MD,640,"2111 Dollarhide Ave, Apt. #301"
302,1,1,A2: 1x1 MD,640,"2111 Dollarhide Ave, Apt. #302"
