unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
1,2,1,A3: 2x1,800,"6602 Weston, Apt. #01"
2,2,1,A3: 2x1,800,"6602 Weston, Apt. #02"
3,2,1,A3: 2x1,800,"6602 Weston, Apt. #03"
4,2,1,A3: 2x1,800,"6602 Weston, Apt. #04"
5,1,1,A1: 1x1,520,"6602 Weston, Apt. #05"
6,1,1,A1: 1x1,520,"6602 Weston, Apt. #06"
7,2,1,A3: 2x1,800,"6602 Weston, Apt. #07"
8,1,1,A1: 1x1,520,"6602 Weston, Apt. #08"
9,1,1,A1: 1x1,520,"6602 Weston, Apt. #09"
11,1,1,A1: 1x1,520,"6602 Weston, Apt. #11"
12,1,1,A1: 1x1,520,"6602 Weston, Apt. #12"
13,2,1,A3: 2x1,800,"6602 Weston, Apt. #13"
14,2,1,A3: 2x1,800,"6602 Weston, Apt. #14"
15,2,1,A3: 2x1,800,"6602 Weston, Apt. #15"
16,2,1,A3: 2x1,800,"6602 Weston, Apt. #16"
17,1,1,A2: 1x1,700,"6602 Weston, Apt. #17"
18,2,1,A3: 2x1,800,"6602 Weston, Apt. #18"
19,2,1,A3: 2x1,800,"6614 Weston, Apt. #19"
20,2,1,A3: 2x1,800,"6614 Weston, Apt. #20"
21,2,1,A3: 2x1,800,"6614 Weston, Apt. #21"
22,2,1,A3: 2x1,800,"6614 Weston, Apt. #22"
23,1,1,A1: 1x1,520,"6614 Weston, Apt. #23"
24,1,1,A1: 1x1,520,"6614 Weston, Apt. #24"
25,1,1,A2: 1x1,700,"6614 Weston, Apt. #25"
26,1,1,A1: 1x1,520,"6614 Weston, Apt. #26"
27,1,1,A1: 1x1,520,"6614 Weston, Apt. #27"
28,1,1,A1: 1x1,520,"6614 Weston, Apt. #28"
29,1,1,A1: 1x1,520,"6614 Weston, Apt. #29"
30,1,1,A1: 1x1,520,"6614 Weston, Apt. #30"
31,2,1,A3: 2x1,800,"6614 Weston, Apt. #31"
32,2,1,A3: 2x1,800,"6614 Weston, Apt. #32"
33,2,1,A3: 2x1,800,"6614 Weston, Apt. #33"
34,2,1,A3: 2x1,800,"6614 Weston, Apt. #34"
35,1,1,A2: 1x1,700,"6614 Weston, Apt. #35"
36,1,1,A2: 1x1,700,"6614 Weston, Apt. #36"
37,2,1,A3: 2x1,800,"6600 Madrid, Apt. #37"
38,1,1,A2: 1x1,700,"6600 Madrid, Apt. #38"
39,1,1,A1: 1x1,520,"6600 Madrid, Apt. #39"
40,2,1,A3: 2x1,800,"6602 Madrid, Apt. #40"
41,2,1,A3: 2x1,800,"6602 Weston, Apt. #41"
42,2,1,A3: 2x1,800,"6600 Madrid, Apt. #42"
43,1,1,A1: 1x1,520,"6600 Madrid, Apt. #43"
44,2,1,A3: 2x1,800,"6600 Madrid, Apt. #44"
45,2,1,A3: 2x1,800,"6600 Madrid, Apt. #45"
46,2,1,A3: 2x1,800,"6600 Madrid, Apt. #46"
47,1,1,A2: 1x1,700,"6600 Madrid, Apt. #47"
48,2,1,A3: 2x1,800,"6604 Madrid, Apt. #48"
49,2,1,A3: 2x1,800,"6600 Madrid, Apt. #49"
50,1,1,A1: 1x1,520,"6600 Madrid, Apt. #50"
51,2,1,A3: 2x1,800,"6602 Madrid, Apt. #51"
52,2,1,A3: 2x1,800,"6602 Madrid, Apt. #52"
53,1,1,A1: 1x1,520,"6602 Madrid, Apt. #53"
54,2,1,A3: 2x1,800,"6602 Madrid, Apt. #54"
55,2,1,A3: 2x1,800,"6602 Madrid, Apt. #55"
56,2,1,A3: 2x1,800,"6602 Madrid, Apt. #56"
57,1,1,A1: 1x1,520,"6602 Madrid, Apt. #57"
58,2,1,A3: 2x1,800,"6602 Madrid, Apt. #58"
59,2,1,A3: 2x1,800,"6602 Madrid, Apt. #59"
60,2,1,A3: 2x1,800,"6602 Madrid, Apt. #60"
61,1,1,A1: 1x1,520,"6602 Madrid, Apt. #61"
62,2,1,A3: 2x1,800,"6602 Madrid, Apt. #62"
63,2,1,A3: 2x1,800,"6602 Madrid, Apt. #63"
64,1,1,A1: 1x1,520,"6602 Madrid, Apt. #64"
65,2,1,A3: 2x1,800,"6604 Madrid, Apt. #65"
66,2,1,A3: 2x1,800,"6604 Madrid, Apt. #66"
67,1,1,A1: 1x1,520,"6604 Madrid, Apt. #67"
68,2,1,A3: 2x1,800,"6604 Madrid, Apt. #68"
69,2,1,A3: 2x1,800,"6602 Weston, Apt. #69"
70,2,1,A3: 2x1,800,"6604 Madrid, Apt. #70"
71,1,1,A1: 1x1,520,"6604 Madrid, Apt. #71"
72,2,1,A3: 2x1,800,"6604 Madrid, Apt. #72"
73,2,1,A3: 2x1,800,"6604 Madrid, Apt. #73"
74,2,1,A3: 2x1,800,"6604 Madrid, Apt. #74"
75,1,1,A1: 1x1,520,"6604 Madrid, Apt. #75"
76,2,1,A3: 2x1,800,"6604 Madrid, Apt. #76"
77,2,1,A3: 2x1,800,"6604 Madrid, Apt. #77"
78,1,1,A1: 1x1,520,"6604 Madrid, Apt. #78"
79,2,1,A3: 2x1,800,"6606 Madrid, Apt. #79"
80,1,1,A1: 1x1,520,"6606 Madrid, Apt. #80"
81,2,1,A3: 2x1,800,"6606 Madrid, Apt. #81"
82,2,1,A3: 2x1,800,"6606 Madrid, Apt. #82"
83,2,1,A3: 2x1,800,"6606 Madrid, Apt. #83"
84,2,1,A3: 2x1,800,"6606 Madrid, Apt. #84"
85,1,1,A2: 1x1,700,"6614 Weston, Apt. #85"
86,2,1,A3: 2x1,800,"6606 Madrid, Apt. #86"
87,2,1,A3: 2x1,800,"6606 Madrid, Apt. #87"
88,2,1,A3: 2x1,800,"6606 Madrid, Apt. #88"
89,2,1,A3: 2x1,800,"6606 Madrid, Apt. #89"
90,1,1,A2: 1x1,700,"6606 Madrid, Apt. #90"
91,2,1,A3: 2x1,800,"6602 Madrid, Apt. #91"
92,1,1,A2: 1x1,700,"6606 Madrid, Apt. #92"
