unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
01W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W01"
02W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W02"
03W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W03"
04W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W04"
05W,2,1,B1: 2x1 SM,961,"1303 Springvale Dr,, Apt. #W05"
06W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W06"
07W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W07"
08W,2,2,C1: 2x2,1035,"1303 Springvale Dr,, Apt. #W08"
09W,2,1,B1: 2x1 SM,961,"1303 Springvale Dr,, Apt. #W09"
10W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W10"
11W,2,2,C1: 2x2,1035,"1305 Springvale Dr., Apt. #W11"
12W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W12"
13W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W13"
14W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W14"
15W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W15"
16W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W16"
17W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W17"
18W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W18"
19W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W19"
20W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W20"
21W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W21"
22W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W22"
23W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W23"
24W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W24"
25W,2,1,B1: 2x1 SM,961,"1303 Springvale Dr,, Apt. #W25"
26W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W26"
27W,1,1,A2: 1x1 MD,691,"1303 Springvale Dr,, Apt. #W27"
28W,2,2,C1: 2x2,1035,"1303 Springvale Dr,, Apt. #W28"
29W,2,1,B1: 2x1 SM,961,"1303 Springvale Dr,, Apt. #W29"
30W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W30"
31W,2,2,C1: 2x2,1035,"1305 Springvale Dr., Apt. #W31"
32W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W32"
33W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W33"
34W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W34"
35W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W35"
36W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W36"
37W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W37"
38W,1,1,A2: 1x1 MD,691,"1305 Springvale Dr., Apt. #W38"
39W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W39"
40W,2,1,B1: 2x1 SM,961,"1305 Springvale Dr., Apt. #W40"
101E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E101"
102E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E102"
103E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E103"
104E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E104"
201E,2,2,C4: 2x2,1120,"1302 Springvale Dr., Apt. #E201"
202E,2,2,C4: 2x2,1120,"1302 Springvale Dr., Apt. #E202"
203E,2,2,C4: 2x2,1120,"1302 Springvale Dr., Apt. #E203"
204E,2,2,C4: 2x2,1120,"1302 Springvale Dr., Apt. #E204"
301E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E301"
302E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E302"
303E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E303"
304E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E304"
401E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E401"
402E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E402"
403E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E403"
404E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E404"
405E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E405"
406E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E406"
407E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E407"
408E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E408"
501E,2,1,B1: 2x1 SM,961,"1303 Springvale Dr,, Apt. #E501"
502E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E502"
503E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E503"
504E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E504"
601E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E601"
602E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E602"
603E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E603"
604E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E604"
605E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E605"
606E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E606"
607E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E607"
608E,2,1,B1: 2x1 SM,961,"1302 Springvale Dr., Apt. #E608"
701E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E701"
702E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E702"
703E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E703"
704E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E704"
705E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E705"
706E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E706"
707E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E707"
708E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E708"
709E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E709"
710E,1,1,A1: 1x1 SM,561,"1302 Springvale Dr., Apt. #E710"
801E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E801"
802E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E802"
803E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E803"
804E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E804"
805E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E805"
806E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E806"
807E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E807"
808E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E808"
901E,1,1,A3: 1x1 LG,750,"1302 Springvale Dr., Apt. #E901"
101M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M101"
102M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M102"
103M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M103"
104M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M104"
105M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M105"
106M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M106"
201M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M201"
202M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M202"
203M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M203"
204M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M204"
301M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M301"
302M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M302"
303M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M303"
304M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M304"
305M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M305"
306M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M306"
401M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M401"
402M,2,1,B1: 2x1 SM,961,"1310 Springvale Dr., Apt. #M402"
501M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M501"
502M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M502"
503M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M503"
504M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M504"
505M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M505"
506M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M506"
601M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M601"
602M,1,1,A2: 1x1 MD,691,"1310 Springvale Dr., Apt. #M602"
