unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
101,1,1,A: 1x1,654,"3400 Roland , Apt. #101"
102,1,1,A: 1x1,654,"3400 Roland , Apt. #102"
103,1,1,A: 1x1,654,"3400 Roland , Apt. #103"
104,1,1,A: 1x1,654,"3400 Roland , Apt. #104"
105,1,1,A: 1x1,654,"3400 Roland , Apt. #105"
106,1,1,A: 1x1,654,"3400 Roland , Apt. #106"
107,1,1,A: 1x1,654,"3400 Roland , Apt. #107"
108,1,1,A: 1x1,654,"3400 Roland , Apt. #108"
201,1,1,A: 1x1,654,"3400 Roland , Apt. #201"
202,1,1,A: 1x1,654,"3400 Roland , Apt. #202"
203,1,1,A: 1x1,654,"3400 Roland , Apt. #203"
204,1,1,A: 1x1,654,"3400 Roland , Apt. #204"
205,1,1,A: 1x1,654,"3400 Roland , Apt. #205"
206,1,1,A: 1x1,654,"3400 Roland , Apt. #206"
207,1,1,A: 1x1,654,"3400 Roland , Apt. #207"
208,1,1,A: 1x1,654,"3400 Roland , Apt. #208"
301,1,1,A: 1x1,654,"3400 Roland , Apt. #301"
302,1,1,A: 1x1,654,"3400 Roland , Apt. #302"
303,1,1,A: 1x1,654,"3400 Roland , Apt. #303"
304,1,1,A: 1x1,654,"3400 Roland , Apt. #304"
305,1,1,A: 1x1,654,"3400 Roland , Apt. #305"
306,1,1,A: 1x1,654,"3400 Roland , Apt. #306"
307,1,1,A: 1x1,654,"3400 Roland , Apt. #307"
308,1,1,A: 1x1,654,"3400 Roland , Apt. #308"
401,2,1,B: 2x1,884,"3400 Roland , Apt. #401"
402,2,1,B: 2x1,884,"3400 Roland , Apt. #402"
403,2,1,B: 2x1,884,"3400 Roland , Apt. #403"
404,2,1,B: 2x1,884,"3400 Roland , Apt. #404"
405,2,1,B: 2x1,884,"3400 Roland , Apt. #405"
406,2,1,B: 2x1,884,"3400 Roland , Apt. #406"
407,2,1,B: 2x1,884,"3400 Roland , Apt. #407"
408,2,1,B: 2x1,884,"3400 Roland , Apt. #408"
