unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
502,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #502"
504,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #504"
505,2,1,"B1: 2x1 2 bed, 1 bath",720,"5565 Gasmer Dr, Apt. #505"
506,2,1,"B1: 2x1 2 bed, 1 bath",720,"5565 Gasmer Dr, Apt. #506"
507,2,1,"B1: 2x1 2 bed, 1 bath",720,"5565 Gasmer Dr, Apt. #507"
508,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #508"
509,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #509"
510,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #510"
511,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #511"
512,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #512"
513,2,1,"B1: 2x1 2 bed, 1 bath",720,"5565 Gasmer Dr, Apt. #513"
514,2,1,"B1: 2x1 2 bed, 1 bath",720,"5565 Gasmer Dr, Apt. #514"
515,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #515"
516,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #516"
517,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #517"
518,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #518"
519,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #519"
520,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #520"
521,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #521"
522,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #522"
523,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #523"
524,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #524"
525,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #525"
526,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #526"
527,1,1,"A1: 1x1 1 bed, 1 bath",686,"5565 Gasmer Dr, Apt. #527"
528,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #528"
529,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #529"
530,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #530"
531,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #531"
532,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #532"
533,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #533"
534,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #534"
535,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #535"
536,0,1,EFF: Studio Efficiency,546,"5565 Gasmer Dr, Apt. #536"
537,2,1,"B2: 2x1 2 bed, 1 bath",790,"5565 Gasmer Dr, Apt. #537"
538,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #538"
539,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #539"
540,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #540"
541,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #541"
542,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #542"
543,2,1.5,"B4: 2x1.5 2 bed, 1.5 bath",820,"5565 Gasmer Dr, Apt. #543"
545,2,2,"B3: 2x2 2 bed, 2 bath",900,"5565 Gasmer Dr, Apt. #545"
546,2,2,"B3: 2x2 2 bed, 2 bath",900,"5565 Gasmer Dr, Apt. #546"
547,2,2,"B3: 2x2 2 bed, 2 bath",900,"5565 Gasmer Dr, Apt. #547"
548,2,2,"B3: 2x2 2 bed, 2 bath",900,"5565 Gasmer Dr, Apt. #548"
