unitName,Bedrooms,Bathrooms,Code,Size,streetAddress
101,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #101"
102,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #102"
103,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #103"
104,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #104"
105,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #105"
106,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #106"
107,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #107"
108,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #108"
109,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #109"
110,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #110"
111,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #111"
112,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #112"
113,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #113"
114,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #114"
115,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #115"
116,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #116"
117,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #117"
118,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #118"
119,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #119"
120,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #120"
121,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #121"
122,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #122"
123,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #123"
124,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #124"
125,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #125"
126,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #126"
127,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #127"
201,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #201"
202,3,1,B2: 3x1,1200,"2903 Colt Drive, Apt. #202"
203,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #203"
204,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #204"
205,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #205"
206,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #206"
207,0,0,EFF: Studio,400,"2903 Colt Drive, Apt. #207"
208,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #208"
209,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #209"
210,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #210"
211,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #211"
212,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #212"
213,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #213"
214,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #214"
215,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #215"
216,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #216"
217,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #217"
218,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #218"
219,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #219"
220,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #220"
221,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #221"
222,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #222"
223,1,1,A1: 1x1,750,"2903 Colt Drive, Apt. #223"
224,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #224"
225,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #225"
226,2,1,B1: 2x1,975,"2903 Colt Drive, Apt. #226"
227,3,1,B2: 3x1,1200,"2903 Colt Drive, Apt. #227"
